 24350.000   46  1  1  6.3299243E-03 -7.4118532E+00 -5.2722027E-01  1  1  2.4120094E+04  5.6623104E+01  0.0000000E+00  5.2831960E-01  4.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninit, ninit1, Epsii , UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
  -100.000  8.9377795E-19
  -99.0000  1.1318911E-18
  -98.0000  1.4428627E-18
  -97.0000  1.8523942E-18
  -96.0000  2.3981351E-18
  -95.0000  3.1340661E-18
  -94.0000  4.1390270E-18
  -93.0000  5.5345113E-18
  -92.0000  7.5047948E-18
  -91.0000  1.0348100E-17
  -90.0000  1.4547262E-17
  -89.0000  2.0925955E-17
  -88.0000  3.0947516E-17
  -87.0000  4.7341299E-17
  -86.0000  7.5542651E-17
  -85.0000  1.2709545E-16
  -84.0000  2.2965070E-16
  -83.0000  4.5825929E-16
  -82.0000  1.0631289E-15
  -81.0000  3.1874644E-15
  -80.0000  1.6643623E-14
  -79.0000  6.9210207E-13
  -78.0000  2.7355652E-13
  -77.0000  5.8906738E-15
  -76.0000  3.7996088E-15
  -75.0000  3.3803904E-15
  -74.0000  3.3805615E-15
  -73.0000  3.6749909E-15
  -72.0000  4.2690631E-15
  -71.0000  5.2415800E-15
  -70.0000  6.7540833E-15
  -69.0000  9.0873388E-15
  -68.0000  1.2717598E-14
  -67.0000  1.8460086E-14
  -66.0000  2.7760998E-14
  -65.0000  4.3209185E-14
  -64.0000  6.9636073E-14
  -63.0000  1.1632373E-13
  -62.0000  2.0190483E-13
  -61.0000  3.6558056E-13
  -60.0000  6.9417637E-13
  -59.0000  1.3946097E-12
  -58.0000  3.0022537E-12
  -57.0000  7.0619420E-12
  -56.0000  1.8763476E-11
  -55.0000  5.9850034E-11
  -54.0000  2.6246018E-10
  -53.0000  2.4861663E-09
  -52.0000  1.6444786E-07
  -51.0000  7.8918020E-09
  -50.0000  8.7389486E-09
  -49.0000  4.8943562E-08
  -48.0000  2.7284242E-07
  -47.0000  2.2585596E-09
  -46.0000  9.0441218E-10
  -45.0000  4.9485607E-10
  -44.0000  3.2527981E-10
  -43.0000  2.4182504E-10
  -42.0000  1.9657622E-10
  -41.0000  1.7110827E-10
  -40.0000  1.5730677E-10
  -39.0000  1.5128596E-10
  -38.0000  1.5115975E-10
  -37.0000  1.5612525E-10
  -36.0000  1.6605522E-10
  -35.0000  1.8134793E-10
  -34.0000  2.0289956E-10
  -33.0000  2.3218318E-10
  -32.0000  2.7138678E-10
  -31.0000  3.2369748E-10
  -30.0000  3.9372771E-10
  -29.0000  4.8815666E-10
  -28.0000  6.1679561E-10
  -27.0000  7.9421971E-10
  -26.0000  1.0423691E-09
  -25.0000  1.3949342E-09
  -24.0000  1.9045247E-09
  -23.0000  2.6548428E-09
  -22.0000  3.7822954E-09
  -21.0000  5.5143408E-09
  -20.0000  8.2401948E-09
  -19.0000  1.2641788E-08
  -18.0000  1.9967813E-08
  -17.0000  3.2550899E-08
  -16.0000  5.5017708E-08
  -15.0000  9.6822475E-08
  -14.5000  1.3067042E-07
  -14.0000  1.7861643E-07
  -13.5000  2.4742017E-07
  -13.0000  3.4808430E-07
  -12.5000  4.9786712E-07
  -12.0000  7.2561197E-07
  -11.5000  1.0802754E-06
  -11.0000  1.6470015E-06
  -10.5000  2.5802227E-06
  -10.0000  4.1728461E-06
  -9.50000  7.0096914E-06
  -9.00000  1.2317663E-05
  -8.50000  2.2883844E-05
  -8.00000  4.5530061E-05
  -7.50000  9.6599925E-05
  -7.00000  2.0842687E-04
  -6.50000  3.8919204E-04
  -6.00000  4.7939673E-04
  -5.50000  5.4715190E-04
  -5.00000  6.7524090E-04
  -4.50000  1.0123309E-03
